seg	po	class	log intensity
4	35	Flavone C-glycosides	4.204174266
4	37	Flavone O-glycosides	3.909127942
4	39	Flavone O-glycosides	4.028408565
4	41	Flavone O-glycosides	3.924486044
4	43	Flavone O-glycosides	3.974281359
4	45	Flavonol O-glycosides	4.040800061
4	47	Lipids	4.864291505
4	49	Lipids	4.019822224
4	51	Lipids	4.099991234
4	53	Organic acids	4.29249974
4	55	Quinic acid and derivatives	3.923917223
4	57	Quinic acid and derivatives	4.687858793
4	59	Terpene glycosides	4.526416823
5	1	Allicin derivatives	4.101953177
5	3	Allicin derivatives	4.003891166
5	5	Allicin derivatives	4.424031809
5	7	Benzoxazinoids	4.560277352
5	9	Flavonol O-glycosides	4.002641149
5	11	Flavonol O-glycosides	4.039889798
5	13	Lipids	4.794062606
5	15	N-Fructosyl amino acids	4.8944213
5	17	N-Fructosyl peptides	4.788649083
5	19	N-Fructosyl peptides	4.617744508
5	21	N-Fructosyl peptides	4.124699809
5	23	N-Fructosyl peptides	3.97602884
5	25	Organic acids	4.266231697
5	27	Organic acids	4.019863714
5	29	Peptides	4.03802374
5	31	Peptides	3.934851803
5	33	Peptides	4.26620817
5	35	Steroidal saponins	4.602721786
5	37	Steroidal saponins	4.212560458
5	39	Sugars	4.130687494
5	41	Sulfonic acids	4.102742336
5	43	Sulfonic acids	4.134400256
6	1	Coumarin and derivatives	4.56511551
6	3	Dipeptides	4.1532049
6	5	Dipeptides	4.230474467
6	7	Dipeptides	3.941908774
6	9	Fatty acids	4.080987047
6	11	Ferulic acid and derivatives	3.90439092
6	13	Nicotianosides	4.093421685
6	15	Nicotine and derivatives	3.921009801
6	17	Nicotine and derivatives	5.092818859
6	19	Nicotine and derivatives	4.038659894
6	21	Nucleosides	3.99409709
6	23	Oxidized fatty acids	3.967641564
6	25	Oxidized fatty acids	4.189630658
6	27	Oxidized fatty acids	4.274896445
6	29	Oxidized fatty acids	3.946648734
6	31	Oxidized fatty acids	4.802561656
6	33	Oxidized fatty acids	3.957990178
6	35	Oxidized fatty acids	4.211787763
6	37	Oxidized fatty acids	3.963410016
6	39	Oxidized fatty acids	4.459151146
6	41	Saccharolipids	3.966517176
6	43	Saccharolipids	4.127234419
6	45	Saccharolipids	4.049450618
7	1	Amino acids	4.031852631
7	3	Amino acids	3.926548225
7	5	Arylbenzofuran flavonoids	4.461228322
7	7	Coumaric acid and derivatives	3.97982143
7	9	Dipeptides	4.603415045
7	11	Dipeptides	4.276277937
7	13	Dipeptides	5.147660869
7	15	Fatty acyl hexosides	4.372064671
7	17	Ferulic acid and derivatives	4.242690474
7	19	Flavone O-glycosides	4.320416337
7	21	Flavone O-glycosides	4.356427442
7	23	Flavone O-glycosides	4.330718079
7	25	Flavone O-glycosides	4.462951745
7	27	Flavone O-glycosides	4.42327865
7	29	Flavonol O-glycosides	4.356427442
7	31	Flavonol O-glycosides	4.230653247
7	33	Flavonol O-glycosides	4.460025373
7	35	Flavonol O-glycosides	4.654378716
7	37	Flavonol O-glycosides	4.379504939
7	39	Flavonol O-glycosides	4.230959556
7	41	Flavonol O-glycosides	4.907927048
7	43	Flavonol O-glycosides	4.853052982
7	45	Isoflavanone O-glycosides	4.549125927
7	47	Lipids	3.930643441
7	49	Nucleosides	4.213836388
7	51	Oxidized fatty acids	4.803443458
7	53	Oxidized fatty acids	4.328603829
7	55	Oxidized fatty acids	4.357382103
7	57	Oxidized fatty acids	4.355125725
7	59	Oxidized fatty acids	4.207257259
7	61	Oxidized fatty acids	3.961753214
7	63	Triterpene saponins	4.809323987
7	65	Triterpene saponins	4.210826639
7	67	Triterpene saponins	4.225102426
7	69	Triterpene saponins	4.297738632
7	71	Triterpene saponins	4.1184962
7	73	Triterpene saponins	3.920488565
7	75	Triterpene saponins	4.222196046
7	77	Triterpene saponins	3.965812953
7	79	Triterpene saponins	4.426153268
7	81	Triterpene saponins	4.43519116
7	83	Triterpene saponins	4.23884868
7	85	Triterpene saponins	4.142577161
7	87	Triterpene saponins	4.400123355
7	89	Triterpene saponins	4.43964843
7	91	Triterpene saponins	4.467238021
8	1	Coumarin and derivatives	4.754348336
8	3	Coumarin and derivatives	4.133379212
8	5	Dipeptides	3.91349596
8	7	Dipeptides	4.204309945
8	9	Dipeptides	4.317896266
8	11	Dipeptides	4.000347297
8	13	Dipeptides	4.048441804
8	15	Dipeptides	3.980276141
8	17	Flavone O-glycosides	3.909074401
8	19	Flavonol O-glycosides	4.436003536
8	21	Flavonol O-glycosides	4.272352241
8	23	Flavonol O-glycosides	3.913866812
8	25	Flavonol O-glycosides	4.967201526
8	27	Glucuronic acid derivatives	4.15250238
8	29	Glucuronic acid derivatives	4.118231648
8	31	Isoflavone O-glycosides	5.73618528
8	33	Isoflavone O-glycosides	4.168291189
8	35	Isoflavone O-glycosides	3.932423026
8	37	Isoflavone O-glycosides	4.267945726
8	39	Isoflavone O-glycosides	4.102639484
8	41	Isoflavone O-glycosides	4.425256992
