seg	po	OP	AT	OS	ZM	AC	NT	MT	GM	GG	GU	LE	ST
1	139	-0.356187479	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
1	141	-0.342528736	-1	1	-1	-0.456551724	-0.387126437	-1	-1	-1	-1	-1	-1
1	143	-0.943001586	-0.883029342	-0.869845361	-1	-0.948949247	1	-1	-0.870043616	-0.924861221	-1	-0.941019033	-0.897799366
1	145	-1	-0.909751014	1	-0.931740614	0.029262203	0.322514144	-0.174851685	-0.414641409	-0.735563598	-0.91185835	-0.842694184	-0.783894908
1	147	-0.416893353	-1	-0.240845365	-0.128967008	-0.837343935	-0.828276487	-0.111111111	-0.389412011	-0.60689126	-0.566296994	-0.896770594	1
1	149	-0.70646438	0.986807388	-0.472295515	-1	-1	-1	-0.211081794	-1	-1	1	-1	-0.705804749
1	151	-0.578132559	-0.619738752	0.1301403	-0.00822448	-1	-0.685534591	1	0.011127238	-1	-0.233671988	0.265602322	-0.283018868
1	153	-0.889974448	-0.647677739	-1	-1	-1	-0.789869232	1	-0.698782504	-0.846685706	-0.647677739	-0.784458139	0.021794679
1	155	-0.828484695	-1	-0.362003542	0.040728561	-1	-1	-0.763723754	-0.719706552	1	0.074120921	-1	-1
1	157	0.439732665	-0.991378446	-1	-0.575984405	-1	-0.731907547	-1	-1	-1	-1	1	0.761915901
1	159	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.700873985	-0.78168521
1	161	1	-1	-1	0.06265228	-1	0.747302471	-1	-1	-1	-1	-1	-1
1	163	0.346060815	-1	-1	-0.162232205	-1	-1	-1	-1	-1	-1	-0.132861092	1
1	165	-0.03998546	-1	-1	-0.687386405	-1	1	-1	-1	-1	-1	-0.621955652	-0.411123228
1	167	-0.946089443	-1	-1	1	-1	-0.910875139	-1	-1	-1	-1	-0.235132621	0.743879473
1	169	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	171	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	173	-0.848380648	-0.932506997	-1	1	-1	-1	-1	-1	-1	-1	0.323470612	-0.58912435
1	175	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	177	1	-1	-0.994002171	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	179	0.467287303	-1	-1	-1	-1	-1	-1	0.255236618	-1	-1	1	0.138522541
1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.824975418	-0.767551622
2	1	-1	1	-1	-1	-1	0.080199563	-1	-1	-0.784159651	-0.847645775	-1	-1
2	3	-1	1	-1	-1	-1	-1	-1	-1	-0.909398073	-1	-1	-1
2	5	-1	1	-0.158124146	-0.977572167	-1	-1	-1	-1	-0.965605373	-1	-1	-1
2	7	-1	1	-0.158124146	-0.977572167	-1	-1	-1	-1	-0.965605373	-1	-1	-1
2	9	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	11	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	13	-1	1	-1	-1	-1	-1	-1	-1	-1	-0.875420875	-1	-1
2	15	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	17	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	19	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	21	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	23	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	25	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	27	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	29	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	31	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	33	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	35	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	37	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	39	-1	1	-0.16907716	0.365391675	0.702811835	-0.204904192	0.332207621	-1	-1	-1	-0.746274136	-1
2	41	-1	1	-1	-1	-1	-0.852009744	-1	-1	-1	-1	-1	-1
2	43	-1	1	-0.372269005	-0.707400365	0.413481315	0.913849975	0.872094377	-1	-0.976328146	-1	-0.721758702	-1
2	45	-1	1	-1	-1	-0.275957801	-1	-1	-1	-1	-1	-0.880436794	-0.931704609
2	47	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.955319322
2	49	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.933819065
3	1	-1	-0.854159935	0.864660743	0.568578352	0.689620355	0.250565428	1	-0.345799677	-0.799192246	-0.37552504	0.106946688	0.088247173
3	3	-1	-1	1	-0.655386694	-1	-1	-0.761702128	-1	-1	-0.947450186	-0.827895981	-0.094089835
3	5	-1	-1	0.785535565	-0.681043727	-0.64625283	-0.95067318	1	-0.716668652	-0.87322769	-0.797092815	-0.957583701	-0.859644942
3	7	-1	-1	1	-0.796355221	-1	-1	-1	-1	-1	-1	-1	-1
3	9	-1	-1	1	-0.749492002	-1	-1	-1	-1	-0.372271141	-0.612879696	-1	-1
3	11	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	13	-1	-1	1	-1	-1	-1	-1	-1	-0.16240776	-0.873042983	-1	-1
3	15	-1	-1	1	-0.391976445	-0.710710342	-1	-1	-1	0.335848362	-1	-1	-1
3	17	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	19	-1	-1	1	-0.898433279	-1	-1	-1	-1	-1	-1	-1	-1
3	21	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-0.8911762
3	23	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	25	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	27	-1	-1	1	-0.592197082	-1	-1	-0.823641362	-1	-1	-1	-1	-1
3	29	-1	-1	1	-0.779010633	-1	-1	-1	-1	-1	-1	-1	-1
3	31	-1	-0.826877934	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	33	-1	0.319278839	1	-0.943327108	-1	-1	-1	-1	-0.909136618	-0.930828904	-1	-0.936934349
3	35	-1	0.060648077	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	37	-1	-0.826615362	0.435774512	-0.178704346	1	-0.924977396	-0.608696566	0.325343258	-0.477196745	-0.821484892	0.501082865	-0.539140857
