Segment	Start	End	Name	Class
8	6	8	a442	b442
8	8	10	a443	b443
8	10	12	a450	b450
8	12	14	a452	b452
8	14	16	a453	b453
8	16	18	a462	b462
8	18	20	a464	b464
8	20	22	a465	b465
8	22	24	a466	b466
8	24	26	a467	b467
8	26	28	a469	b469
8	28	30	a470	b470
8	30	32	a472	b472
8	32	34	a474	b474
8	34	36	a475	b475
8	36	38	a476	b476
8	38	40	a477	b477
8	40	42	a482	b482
8	42	44	a483	b483
8	44	46	a489	b489
8	46	48	a496	b496
8	48	50	a498	b498
8	50	52	a499	b499
8	52	54	a500	b500
8	54	56	a502	b502
9	0	2	a510	b510
9	2	4	a511	b511
9	4	6	a515	b515
9	6	8	a517	b517
9	8	10	a519	b519
9	10	12	a520	b520
9	12	14	a522	b522
9	14	16	a524	b524
9	16	18	a526	b526
9	18	20	a527	b527
9	20	22	a529	b529
9	22	24	a531	b531
9	24	26	a532	b532
9	26	28	a533	b533
9	28	30	a538	b538
9	30	32	a542	b542
9	32	34	a543	b543
9	34	36	a544	b544
9	36	38	a545	b545
9	38	40	a547	b547
9	40	42	a548	b548
9	42	44	a549	b549
9	44	46	a554	b554
9	46	48	a555	b555
9	48	50	a556	b556
9	50	52	a560	b560
9	52	54	a561	b561
9	54	56	a562	b562
9	56	58	a563	b563
9	58	60	a568	b568
9	60	62	a569	b569
9	62	64	a570	b570
9	64	66	a571	b571
9	66	68	a572	b572
9	68	70	a573	b573
9	70	72	a574	b574
9	72	74	a577	b577
9	74	76	a581	b581
9	76	78	a583	b583
9	78	80	a584	b584
9	80	82	a585	b585
9	82	84	a586	b586
9	84	86	a587	b587
9	86	88	a588	b588
9	88	90	a589	b589
9	90	92	a590	b590
9	92	94	a591	b591
9	94	96	a592	b592
9	96	98	a593	b593
9	98	100	a594	b594
9	100	102	a601	b601
9	102	104	a602	b602
9	104	106	a603	b603
10	0	2	a604	b604
10	2	4	a606	b606
10	4	6	a607	b607
10	6	8	a608	b608
10	8	10	a612	b612
10	10	12	a613	b613
10	12	14	a615	b615
10	14	16	a617	b617
10	16	18	a619	b619
10	18	20	a620	b620
10	20	22	a621	b621
10	22	24	a622	b622
10	24	26	a624	b624
10	26	28	a625	b625
10	28	30	a626	b626
10	30	32	a627	b627
10	32	34	a629	b629
10	34	36	a630	b630
10	36	38	a631	b631
10	38	40	a632	b632
10	40	42	a633	b633
10	42	44	a635	b635
10	44	46	a636	b636
10	46	48	a637	b637
10	48	50	a640	b640
10	50	52	a641	b641
10	52	54	a642	b642
10	54	56	a643	b643
10	56	58	a644	b644
10	58	60	a646	b646
10	60	62	a647	b647
10	62	64	a648	b648
10	64	66	a650	b650
10	66	68	a652	b652
10	68	70	a653	b653
11	0	2	a656	b656
11	2	4	a657	b657
11	4	6	a658	b658
11	6	8	a659	b659
11	8	10	a664	b664
11	10	12	a665	b665
11	12	14	a670	b670
11	14	16	a671	b671
11	16	18	a672	b672
11	18	20	a673	b673
11	20	22	a674	b674
11	22	24	a675	b675
11	24	26	a676	b676
11	26	28	a683	b683
11	28	30	a685	b685
11	30	32	a687	b687
11	32	34	a689	b689
11	34	36	a690	b690
11	36	38	a693	b693
11	38	40	a694	b694
11	40	42	a695	b695
11	42	44	a696	b696
11	44	46	a697	b697
11	46	48	a698	b698
11	48	50	a706	b706
11	50	52	a707	b707
11	52	54	a710	b710
11	54	56	a712	b712
11	56	58	a717	b717
12	0	2	a723	b723
12	2	4	a728	b728
12	4	6	a731	b731
12	6	8	a732	b732
12	8	10	a734	b734
12	10	12	a737	b737
12	12	14	a748	b748
12	14	16	a754	b754
12	16	18	a755	b755
12	18	20	a762	b762
12	20	22	a766	b766
12	22	24	a768	b768
12	24	26	a770	b770
12	26	28	a774	b774
12	28	30	a779	b779
12	30	32	a780	b780
12	32	34	a783	b783
